school,accept_rate,25th_percentile,75th_percentile
University of Massachusetts—​Amherst,0.638,1190.0,1390.0
Wabash College,0.642,1120.0,1320.0
DePauw University,0.644,1130.0,1360.0
Drury University,0.644,1045.0,1225.0
St. John Fisher College,0.645,1070.0,1260.0
University of San Francisco,0.6459999999999999,1130.0,1330.0
Bard College,0.6459999999999999,1248.0,1420.0
Goshen College,0.647,1010.0,1210.0
Agnes Scott College,0.648,1130.0,1340.0
Virginia Polytechnic Institute and State University,0.648,1180.0,1390.0
University of Houston,0.65,1140.0,1310.0
University of North Carolina—​Charlotte,0.65,1120.0,1290.0
Truman State University,0.653,1080.0,1358.0
University of North Carolina—​Wilmington,0.655,1170.0,1320.0
SUNY—​Geneseo,0.655,1120.0,1310.0
Embry-​Riddle Aeronautical University,0.655,1110.0,1320.0
University of the Pacific,0.6559999999999999,1130.0,1360.0
Rochester Institute of Technology,0.66,1200.0,1400.0
Berry College,0.6609999999999999,1110.0,1310.0
Mississippi State University,0.6629999999999999,1070.0,1280.0
Sewanee—​University of the South,0.667,1150.0,1340.0
Hanover College,0.669,1078.0,1300.0
Coe College,0.669,1078.0,1300.0
Randolph-​Macon College,0.6709999999999999,1020.0,1240.0
Loyola University Chicago,0.672,1140.0,1320.0
University of Vermont,0.6729999999999999,1180.0,1360.0
San Francisco State University,0.6729999999999999,940.0,1150.0
Brigham Young University—​Provo,0.675,1210.0,1420.0
Drake University,0.6759999999999999,1100.0,1370.0
Stonehill College,0.677,1120.0,1290.0
Elmhurst College,0.6779999999999999,990.0,1210.0
Taylor University,0.6809999999999999,1080.0,1310.0
DePaul University,0.682,1070.0,1290.0
Knox College,0.6829999999999999,1090.0,1350.0
Hofstra University,0.685,1160.0,1340.0
Ithaca College,0.685,1160.0,1338.0
California State University--San Bernardino,0.6859999999999999,910.0,1090.0
University of South Carolina,0.6859999999999999,1180.0,1370.0
Albion College,0.688,990.0,1200.0
Presbyterian College (SC),0.688,1010.0,1210.0
Texas Tech University,0.6890000000000001,1070.0,1260.0
Ohio Wesleyan University,0.69,1060.0,1295.0
Ripon College,0.69,1000.0,1210.0
Drew University,0.6920000000000001,1110.0,1310.0
Central Michigan,0.695,990.0,1200.0
Oklahoma State University,0.7,1040.0,1265.0
Bradley University,0.7020000000000001,1070.0,1270.0
Seton Hall University,0.7040000000000001,1150.0,1310.0
Biola University,0.705,1080.0,1310.0
Ursinus College,0.7090000000000001,1140.0,1320.0
Montclair State,0.7090000000000001,990.0,1170.0
Clarkson University,0.711,1160.0,1350.0
Michigan State University,0.711,1100.0,1320.0
Hollins University,0.7120000000000001,1070.0,1300.0
Creighton University,0.7140000000000001,1150.0,1350.0
California Lutheran University,0.715,1070.0,1250.0
University of Mary Washington,0.718,1050.0,1269.0
Christopher Newport University,0.7190000000000001,1110.0,1280.0
University of California—Merced,0.72,980.0,1180.0
Mercer University,0.72,1180.0,1340.0
University of Dayton,0.72,1120.0,1320.0
Lewis & Clark College,0.722,1220.0,1400.0
Hendrix College,0.722,1153.0,1390.0
University of Rhode Island,0.723,1012.0,1345.0
California State University--Chico,0.723,990.0,1180.0
Stetson University,0.7240000000000001,1110.0,1300.0
Quinnipiac University,0.725,1090.0,1260.0
Duquesne University,0.725,1130.0,1300.0
University of Illinois—​Chicago,0.727,1030.0,1260.0
University of Akron,0.73,990.0,1230.0
St. John's University (NY),0.731,1070.0,1270.0
University of Cincinnati,0.731,1160.0,1370.0
Simmons University,0.731,1110.0,1290.0
Wayne State University,0.731,1010.0,1230.0
Butler University,0.732,1150.0,1330.0
Point Loma Nazarene University,0.737,1140.0,1310.0
University of North Texas,0.737,1060.0,1250.0
University of North Georgia,0.737,1108.0,1273.0
Xavier University,0.738,1070.0,1250.0
Wheaton College (MA),0.7390000000000001,1150.0,1340.0
Eastern Michigan,0.741,970.0,1190.0
University of Washington--Bothell,0.741,1038.0,1250.0
Adelphi University,0.742,1080.0,1270.0
Baldwin Wallace University,0.742,1030.0,1250.0
Michigan Technological University,0.743,1170.0,1370.0
Drexel University,0.747,1190.0,1390.0
University of Redlands,0.75,1100.0,1250.0
Loyola University New Orleans,0.75,1050.0,1260.0
California State University--Monterey Bay,0.753,960.0,1170.0
Whittier College,0.759,1030.0,1213.0
Kalamazoo College,0.76,1170.0,1370.0
Towson University,0.763,1060.0,1220.0
Centre College,0.764,1130.0,1380.0
University of Texas San Antonio,0.7659999999999999,1030.0,1220.0
James Madison University,0.768,1120.0,1290.0
Appalachian State University,0.768,1100.0,1270.0
Indiana University—​Bloomington,0.769,1150.0,1360.0
High Point University,0.769,1090.0,1250.0
Virginia Commonwealth University,0.7709999999999999,1070.0,1260.0
University of Arkansas—​Fayetteville,0.7709999999999999,1120.0,1300.0
John Brown University,0.7709999999999999,1060.0,1365.0
University of Idaho,0.778,1010.0,1240.0
University of Missouri,0.778,1090.0,1290.0
Willamette University,0.779,1140.0,1340.0
University of Nebraska—​Lincoln,0.782,1120.0,1360.0
Carroll College,0.7829999999999999,1070.0,1270.0
College of Charleston,0.7829999999999999,1080.0,1260.0
University of Colorado—​Boulder,0.784,1140.0,1350.0
Elon University,0.784,1160.0,1320.0
Seattle University,0.785,1160.0,1330.0
University of Texas—​Dallas,0.7859999999999999,1240.0,1460.0
East Carolina,0.787,1030.0,1190.0
University of Tennessee,0.7879999999999999,1150.0,1330.0
University of Texas Arlington,0.795,1060.0,1260.0
