number_of_applicants,accept_rate,enrolled_lower_sat,enrolled_higher_sat
4863,0.848,1100.0,1290.0
26869,0.848,1130.0,1360.0
1889,0.848,1220.0,1440.0
36855,0.85,1030.0,1230.0
2722,0.852,1090.0,1280.0
16308,0.855,1040.0,1230.0
1003,0.855,1008.0,1240.0
3748,0.857,1130.0,1330.0
5491,0.858,1070.0,1290.0
19554,0.867,1110.0,1320.0
13335,0.87,990.0,1200.0
7581,0.879,1040.0,1240.0
8280,0.885,1000.0,1398.0
1702,0.887,1100.0,1310.0
13118,0.902,1050.0,1260.0
16335,0.909,980.0,1190.0
15276,0.91,1050.0,1310.0
18246,0.9209999999999999,1100.0,1340.0
2225,0.924,1090.0,1300.0
6182,0.9259999999999999,1060.0,1270.0
3912,0.929,1070.0,1250.0
19324,0.945,1080.0,1300.0
10228,0.951,1000.0,1240.0
7821,0.961,1010.0,1230.0
2319,0.9620000000000001,1040.0,1240.0
8245,0.973,990.0,1220.0
16332,0.083,1240.0,1520.0
11675,0.10300000000000001,1160.0,1380.0
10354,0.111,1230.0,1440.0
2274,0.128,1245.0,1420.0
1693,0.248,1200.0,1340.0
20946,0.316,1140.0,1285.0
58936,0.36,1200.0,1340.0
2208,0.36,1275.0,1465.0
35240,0.382,1160.0,1340.0
38905,0.38799999999999996,1280.0,1440.0
36986,0.47700000000000004,1170.0,1330.0
496,0.5710000000000001,793.0,1078.0
18492,0.575,1240.0,1300.0
3554,0.579,1010.0,1210.0
37302,0.591,1060.0,1280.0
9743,0.657,1150.0,1360.0
24501,0.746,1080.0,1310.0
2742,0.747,1050.0,1230.0
1340,0.768,1220.0,1420.0
211,0.777,1220.0,1400.0
10680,0.7979999999999999,950.0,1130.0
4434,0.8640000000000001,990.0,1180.0
15371,0.8809999999999999,1050.0,1270.0
5348,0.96,1060.0,1280.0
7157,0.9990000000000001,820.0,1050.0
